Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,15.620000,15.920000,14.910000,15.060000,15.060000,3526200
2019-01-02,14.890000,15.940000,14.880000,15.650000,15.650000,3680700
2019-01-03,15.550000,16.129999,15.240000,15.290000,15.290000,2204100
2019-01-04,14.800000,15.780000,14.800000,15.180000,15.180000,2989000
2019-01-07,15.210000,16.490000,14.518000,16.370001,16.370001,5124900
2019-01-08,16.879999,18.120001,16.879999,17.889999,17.889999,6358100
2019-01-09,17.930000,19.719999,17.885000,19.040001,19.040001,3950200
2019-01-10,18.830000,19.500000,18.570000,19.240000,19.240000,2222800
2019-01-11,19.320000,19.420000,18.010000,18.049999,18.049999,3036500
2019-01-14,17.780001,18.799999,17.549999,18.400000,18.400000,3297700
2019-01-15,18.639999,18.700001,17.820000,18.320000,18.320000,1939200
2019-01-16,16.540001,18.219999,16.490000,17.389999,17.389999,3828800
2019-01-17,16.969999,18.540001,16.969999,18.170000,18.170000,2524600
2019-01-18,18.250000,19.900000,18.139999,19.780001,19.780001,3226200
2019-01-22,19.590000,19.730000,18.530001,18.650000,18.650000,1946800
2019-01-23,17.780001,18.520000,17.420000,17.860001,17.860001,2490600
2019-01-24,17.790001,18.965000,17.580000,18.889999,18.889999,1422000
2019-01-25,19.219999,19.889999,19.219999,19.600000,19.600000,1546400
2019-01-28,19.110001,19.680000,18.830000,19.240000,19.240000,2728500
2019-01-29,18.799999,19.309999,18.680000,19.230000,19.230000,1887900
2019-01-30,19.230000,19.360001,18.559999,19.320000,19.320000,1231000
2019-01-31,19.389999,19.760000,18.990000,19.740000,19.740000,1491300
2019-02-01,19.780001,20.320000,19.600000,20.070000,20.070000,2338000
2019-02-04,19.920000,20.000000,19.240000,19.719999,19.719999,1332100
2019-02-05,19.709999,20.350000,19.709999,20.330000,20.330000,1877900
2019-02-06,20.330000,21.480000,20.330000,21.330000,21.330000,2166500
2019-02-07,19.000000,19.090000,16.370001,17.980000,17.980000,6844200
2019-02-08,17.520000,18.320000,17.020000,17.809999,17.809999,2484300
2019-02-11,17.610001,18.250000,17.139999,18.150000,18.150000,2055200
2019-02-12,18.410000,19.254999,17.959999,19.049999,19.049999,1811300
2019-02-13,19.020000,19.820000,19.020000,19.750000,19.750000,2144500
2019-02-14,19.469999,20.030001,19.280001,19.490000,19.490000,1323600
2019-02-15,19.790001,20.440001,19.540001,20.379999,20.379999,1633800
2019-02-19,20.219999,20.639999,19.930000,20.049999,20.049999,1520100
2019-02-20,20.150000,21.370001,20.150000,21.270000,21.270000,1129400
2019-02-21,21.160000,21.410000,20.290001,20.330000,20.330000,1450500
2019-02-22,20.540001,21.139999,20.400000,21.090000,21.090000,865100
2019-02-25,21.250000,21.590000,20.830000,21.200001,21.200001,1356800
2019-02-26,21.120001,21.290001,20.620001,20.620001,20.620001,1247800
2019-02-27,20.500000,20.900000,19.980000,20.070000,20.070000,1526500
2019-02-28,20.049999,20.049999,19.100000,19.440001,19.440001,1165100
2019-03-01,19.600000,20.090000,19.160000,19.280001,19.280001,1289400
2019-03-04,19.379999,19.510000,18.740000,19.059999,19.059999,1890000
2019-03-05,18.940001,18.959999,18.420000,18.469999,18.469999,1263300
2019-03-06,18.450001,18.450001,16.620001,16.680000,16.680000,2074300
2019-03-07,16.660000,16.780001,15.410000,15.460000,15.460000,2621300
2019-03-08,15.440000,15.759000,15.080000,15.160000,15.160000,1951300
2019-03-11,15.010000,15.280000,14.860000,15.170000,15.170000,1967000
2019-03-12,15.200000,15.300000,14.710000,15.040000,15.040000,1854100
2019-03-13,15.010000,15.140000,14.320000,14.390000,14.390000,2437900
2019-03-14,14.380000,14.700000,13.870000,13.950000,13.950000,3416100
2019-03-15,14.040000,14.250000,13.880000,13.970000,13.970000,3144300
2019-03-18,14.520000,14.530000,13.980000,14.370000,14.370000,2798200
2019-03-19,14.520000,14.730000,14.080000,14.140000,14.140000,1751700
2019-03-20,14.070000,14.160000,13.010000,13.050000,13.050000,3200600
2019-03-21,13.050000,13.500000,12.950000,13.470000,13.470000,1599800
2019-03-22,13.370000,13.398000,12.530000,12.570000,12.570000,2704100
2019-03-25,12.520000,12.900000,12.145000,12.730000,12.730000,1728200
2019-03-26,12.680000,13.270000,12.450000,12.670000,12.670000,1533300
2019-03-27,12.920000,12.990000,12.540000,12.890000,12.890000,1693800
2019-03-28,12.900000,13.480000,12.900000,13.010000,13.010000,1644800
2019-03-29,13.020000,13.385000,12.860000,12.960000,12.960000,1500700
2019-04-01,13.630000,14.579000,13.460000,14.370000,14.370000,2586500
2019-04-02,14.520000,14.720000,14.214000,14.490000,14.490000,1739300
2019-04-03,14.790000,15.620000,14.725000,15.120000,15.120000,2101900
2019-04-04,15.210000,16.216999,15.020000,16.100000,16.100000,2407400
2019-04-05,16.350000,16.559999,15.970000,16.309999,16.309999,2141300
2019-04-08,16.180000,16.820000,16.086000,16.809999,16.809999,1314800
2019-04-09,16.629999,16.650000,16.159000,16.469999,16.469999,1408500
2019-04-10,16.400000,18.254999,16.290001,18.150000,18.150000,3005700
2019-04-11,17.799999,18.360001,17.590000,18.240000,18.240000,2490700
2019-04-12,20.059999,21.889999,19.450001,20.730000,20.730000,6592900
2019-04-15,21.200001,24.750000,20.910000,23.730000,23.730000,9196200
2019-04-16,24.309999,24.559999,23.219999,24.480000,24.480000,4672900
2019-04-17,24.530001,25.600000,24.530001,25.360001,25.360001,3465500
2019-04-18,25.270000,25.950001,25.059999,25.910000,25.910000,3237700
2019-04-22,25.129999,26.020000,24.389999,25.540001,25.540001,2606400
2019-04-23,25.629999,25.719999,24.660000,24.740000,24.740000,3006500
2019-04-24,24.850000,24.930000,23.450001,24.110001,24.110001,2854700
2019-04-25,23.990000,24.000000,22.150000,22.469999,22.469999,2254000
2019-04-26,22.680000,23.590000,22.350000,23.440001,23.440001,1965500
2019-04-29,23.350000,24.350000,23.299999,24.040001,24.040001,1671200
2019-04-30,23.870001,24.070000,22.715000,23.100000,23.100000,1576900
2019-05-01,23.340000,24.035000,22.990000,23.020000,23.020000,1297500
2019-05-02,22.990000,23.930000,22.709999,23.900000,23.900000,1540000
2019-05-03,24.020000,25.004999,23.645000,24.889999,24.889999,1657300
2019-05-06,23.760000,24.575001,23.320000,24.350000,24.350000,2138500
2019-05-07,22.879999,23.000000,21.551001,21.969999,21.969999,2902900
2019-05-08,22.080000,22.690001,21.635000,22.030001,22.030001,2195500
2019-05-09,21.280001,21.440001,20.059999,21.250000,21.250000,3060800
2019-05-10,21.030001,21.639999,20.600000,21.440001,21.440001,2265500
2019-05-13,20.590000,21.139999,20.080000,20.510000,20.510000,2240900
2019-05-14,20.610001,20.830000,20.090000,20.680000,20.680000,2385800
2019-05-15,20.330000,20.450001,19.540001,20.400000,20.400000,2750200
2019-05-16,20.200001,20.590000,17.799999,18.040001,18.040001,3647600
2019-05-17,17.790001,18.549999,17.510000,17.969999,17.969999,1965900
2019-05-20,17.549999,18.370001,17.360001,17.610001,17.610001,2333800
2019-05-21,17.610001,18.090000,17.340000,17.780001,17.780001,1650000
2019-05-22,17.540001,17.764999,16.670000,16.799999,16.799999,1359500
2019-05-23,16.450001,17.180000,16.370001,17.150000,17.150000,1817800
2019-05-24,17.230000,17.570000,16.910000,17.360001,17.360001,1014300
2019-05-28,17.459999,18.230000,17.389999,18.090000,18.090000,1423600
2019-05-29,17.790001,18.195000,17.459999,18.070000,18.070000,999800
2019-05-30,18.100000,18.990000,17.719999,17.910000,17.910000,1582600
2019-05-31,17.030001,17.520000,16.580999,17.260000,17.260000,1921500
2019-06-03,17.049999,17.850000,16.860001,17.400000,17.400000,1930100
2019-06-04,17.879999,19.260000,17.750000,18.920000,18.920000,1944600
2019-06-05,18.910000,19.610001,18.000000,19.389999,19.389999,1961900
2019-06-06,19.129999,20.020000,18.790001,19.750000,19.750000,2267100
2019-06-07,19.830000,20.680000,19.370001,20.389999,20.389999,1317800
2019-06-10,20.850000,21.680000,20.719999,20.790001,20.790001,2415400
2019-06-11,21.190001,22.370001,21.020000,21.719999,21.719999,1869400
2019-06-12,21.530001,21.549999,20.590000,20.709999,20.709999,1591700
2019-06-13,20.660000,21.230000,20.150000,21.049999,21.049999,1708100
2019-06-14,20.830000,21.030001,20.030001,20.420000,20.420000,1302000
2019-06-17,20.549999,21.080000,19.900000,20.799999,20.799999,1138700
2019-06-18,21.049999,22.000000,20.910000,21.440001,21.440001,1581100
2019-06-19,21.600000,21.670000,20.870001,21.340000,21.340000,951800
2019-06-20,21.770000,22.420000,21.680000,22.170000,22.170000,1357200
2019-06-21,22.150000,22.480000,21.799999,22.180000,22.180000,1714800
2019-06-24,22.120001,22.150000,21.389999,22.010000,22.010000,1037900
2019-06-25,22.010000,22.230000,21.709999,22.209999,22.209999,1001600
2019-06-26,22.250000,23.309999,22.250000,23.180000,23.180000,1752600
2019-06-27,23.110001,23.920000,23.100000,23.850000,23.850000,1788300
2019-06-28,23.860001,24.920000,23.850000,24.270000,24.270000,13446800
2019-07-01,24.940001,25.299999,23.690001,24.059999,24.059999,2130700
2019-07-02,23.969999,24.059999,23.129999,23.620001,23.620001,2007000
2019-07-03,23.809999,24.000000,23.190001,23.770000,23.770000,1096200
2019-07-05,23.530001,23.850000,22.950001,23.610001,23.610001,806200
2019-07-08,23.430000,24.129999,22.730000,23.030001,23.030001,1629200
2019-07-09,22.770000,22.959999,22.230000,22.520000,22.520000,1350700
2019-07-10,22.730000,23.000000,21.650000,22.780001,22.780001,1912100
2019-07-11,22.780001,22.780001,21.525000,21.580000,21.580000,1974600
2019-07-12,21.610001,22.760000,21.520000,22.090000,22.090000,1492500
2019-07-15,22.090000,22.370001,21.225000,22.030001,22.030001,1128800
2019-07-16,21.610001,22.559999,21.059999,21.930000,21.930000,1901700
2019-07-17,21.610001,21.950001,21.010000,21.600000,21.600000,1441600
2019-07-18,21.500000,21.719999,20.950001,21.629999,21.629999,1206100
2019-07-19,21.650000,22.820000,21.650000,21.980000,21.980000,860600
2019-07-22,22.190001,22.730000,21.690001,21.709999,21.709999,906300
2019-07-23,22.330000,23.480000,22.000000,23.209999,23.209999,2083500
2019-07-24,23.260000,24.830000,23.090000,24.820000,24.820000,1437800
2019-07-25,24.410000,24.629999,22.934999,23.230000,23.230000,1225100
2019-07-26,23.280001,23.825001,22.980000,23.639999,23.639999,1098400
2019-07-29,23.549999,23.790001,23.200001,23.709999,23.709999,769200
2019-07-30,23.160000,23.240000,22.170000,23.059999,23.059999,1403200
2019-07-31,23.250000,24.129999,22.959999,23.750000,23.750000,1474300
2019-08-01,23.870001,23.870001,21.299999,21.309999,21.309999,2020800
2019-08-02,21.010000,21.105000,19.285000,19.969999,19.969999,2845100
2019-08-05,19.180000,19.549999,18.879999,19.299999,19.299999,3223300
2019-08-06,20.690001,25.790001,20.090000,25.450001,25.450001,5180000
2019-08-07,25.360001,25.360001,23.719999,24.360001,24.360001,2597600
2019-08-08,24.490000,25.209999,23.870001,24.440001,24.440001,2079600
2019-08-09,24.309999,24.440001,23.520000,24.139999,24.139999,1256700
2019-08-12,23.790001,23.990000,23.299999,23.700001,23.700001,796900
2019-08-13,23.350000,24.730000,23.240000,24.180000,24.180000,1746100
2019-08-14,23.290001,23.709999,22.299999,22.879999,22.879999,1474400
2019-08-15,22.950001,22.975000,21.250000,21.469999,21.469999,1364000
2019-08-16,21.740000,22.860001,21.740000,22.700001,22.700001,1534900
2019-08-19,23.139999,23.280001,22.440001,22.790001,22.790001,703900
2019-08-20,22.790001,22.790001,22.045000,22.430000,22.430000,896800
2019-08-21,23.010000,23.700001,22.770000,23.040001,23.040001,813200
2019-08-22,23.260000,23.420000,22.750000,22.770000,22.770000,689900
2019-08-23,22.200001,22.700001,20.643999,20.920000,20.920000,1487100
2019-08-26,21.350000,21.580000,20.725000,20.830000,20.830000,1032300
2019-08-27,21.370001,21.370001,19.700001,19.730000,19.730000,1467700
2019-08-28,19.639999,20.360001,19.410000,19.940001,19.940001,1391700
2019-08-29,20.340000,20.879999,19.700001,19.990000,19.990000,1071500
2019-08-30,20.049999,20.740000,19.959999,20.170000,20.170000,540300
2019-09-03,19.950001,20.090000,18.690001,18.910000,18.910000,1664400
2019-09-04,19.410000,21.100000,19.290001,21.049999,21.049999,1052100
2019-09-05,21.740000,24.750000,21.379999,24.379999,24.379999,3114800
2019-09-06,24.309999,24.459999,23.559999,23.920000,23.920000,1989200
2019-09-09,24.510000,25.930000,23.959999,25.299999,25.299999,2394800
2019-09-10,25.170000,25.830000,24.379999,25.650000,25.650000,2029700
2019-09-11,25.940001,26.215000,24.920000,25.900000,25.900000,1455200
2019-09-12,25.000000,26.150000,24.250000,25.330000,25.330000,1272100
2019-09-13,24.910000,26.400000,24.910000,25.070000,25.070000,1285200
2019-09-16,25.070000,25.490000,24.040001,24.700001,24.700001,1201200
2019-09-17,24.190001,24.520000,23.660000,24.209999,24.209999,1272900
2019-09-18,24.030001,24.754999,23.250000,23.570000,23.570000,1010000
2019-09-19,23.690001,24.389999,23.400000,23.420000,23.420000,1108000
2019-09-20,23.400000,23.830000,22.690001,22.750000,22.750000,1784300
2019-09-23,22.110001,23.150000,21.900000,22.860001,22.860001,1041700
2019-09-24,23.320000,23.320000,21.420000,21.790001,21.790001,1438800
2019-09-25,21.920000,23.000000,21.424999,22.760000,22.760000,1065700
2019-09-26,22.639999,22.740000,21.750000,21.799999,21.799999,894200
2019-09-27,21.940001,22.969999,21.770000,22.950001,22.950001,1276500
2019-09-30,23.110001,23.750000,22.450001,22.959999,22.959999,914700
2019-10-01,23.080000,23.980000,22.080000,22.230000,22.230000,855300
2019-10-02,21.740000,21.830000,20.370001,21.090000,21.090000,1112400
2019-10-03,20.930000,21.180000,20.520000,21.090000,21.090000,657300
2019-10-04,20.959999,21.222000,19.370001,19.610001,19.610001,1942900
2019-10-07,19.520000,20.370001,19.400000,19.920000,19.920000,1405600
2019-10-08,19.430000,19.910000,19.173000,19.740000,19.740000,1411800
2019-10-09,20.240000,20.459999,19.365000,20.379999,20.379999,1002600
2019-10-10,20.540001,21.370001,20.420000,20.790001,20.790001,1103400
2019-10-11,21.270000,23.180000,21.230000,23.010000,23.010000,1635500
2019-10-14,22.780001,23.280001,22.290001,23.270000,23.270000,855300
2019-10-15,23.270000,24.309999,22.907000,24.049999,24.049999,1189700
2019-10-16,24.120001,24.750000,23.700001,24.709999,24.709999,1237705
